Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,Region,State,City,Product_ID,Category,Sub_Category,Quantity,Sales,Discount,Profit
ORD-200000,23-11-2024,26-11-2024,CUST-8534,Onkar Shetty,Corporate,India,East,Maharashtra,Mumbai,PROD-969,Technology,Phones,10,24940.69,0.21,4825.1
ORD-200001,13-08-2022,23-08-2022,CUST-7939,Tejas Hayer,Consumer,India,South,Tamil Nadu,Coimbatore,PROD-325,Technology,Accessories,9,1186.86,0.16,97.51
ORD-200002,30-07-2024,02-08-2024,CUST-8335,Nishith Dhar,Home Office,India,West,Rajasthan,Jaipur,PROD-641,Furniture,Chairs,3,14516.47,0.01,2423.51
ORD-200003,16-10-2022,26-10-2022,CUST-9254,Vivaan Chaudry,Corporate,India,North,Karnataka,Mysuru,PROD-368,Office Supplies,Storage,5,3078.58,0.19,617.95
ORD-200004,25-02-2022,03-03-2022,CUST-6326,Rati Karnik,Home Office,India,North,West Bengal,Kolkata,PROD-301,Technology,Accessories,10,24545.37,0.23,-134.58
ORD-200005,17-09-2023,25-09-2023,CUST-1854,Lagan Walla,Home Office,India,West,Rajasthan,Jaipur,PROD-706,Technology,Laptops,10,24949.86,0.05,1721.43
ORD-200006,11-05-2024,17-05-2024,CUST-3161,Hansh Varghese,Home Office,India,West,Tamil Nadu,Coimbatore,PROD-246,Technology,Laptops,2,21613.66,0.26,-1040.94
ORD-200007,09-04-2023,19-04-2023,CUST-4999,Lavanya Rastogi,Home Office,India,West,Kerala,Kochi,PROD-599,Technology,Copiers,7,17813.12,0.17,866.09
ORD-200008,23-11-2024,29-11-2024,CUST-2074,Vihaan D’Alia,Home Office,India,North,Karnataka,Bengaluru,PROD-142,Furniture,Bookcases,3,22136.42,0.08,3569.44
ORD-200009,15-09-2024,20-09-2024,CUST-5367,Ayesha Sandal,Home Office,India,South,Karnataka,Bengaluru,PROD-490,Furniture,Chairs,6,10812.74,0.06,434.51
ORD-200010,17-10-2024,18-10-2024,CUST-4611,Anika Sathe,Home Office,India,West,Punjab,Ludhiana,PROD-918,Office Supplies,Art,5,18175.89,0.03,3837.92
ORD-200011,19-06-2023,29-06-2023,CUST-4283,Mehul Kaur,Corporate,India,South,Gujarat,Surat,PROD-925,Technology,Accessories,8,17784.86,0.12,3679.11
ORD-200012,10-02-2023,14-02-2023,CUST-2057,Shanaya De,Home Office,India,East,Punjab,Ludhiana,PROD-516,Technology,Copiers,4,3915.21,0.11,946.29
ORD-200013,08-09-2024,10-09-2024,CUST-9784,Mohanlal Kar,Home Office,India,South,Telangana,Hyderabad,PROD-906,Technology,Copiers,1,3082.65,0.04,477.03
ORD-200014,03-03-2024,06-03-2024,CUST-7022,Mannat Bose,Home Office,India,South,Punjab,Ludhiana,PROD-541,Office Supplies,Art,4,24415.23,0.15,595.11
ORD-200015,16-09-2022,25-09-2022,CUST-4176,Kartik Hora,Home Office,India,North,West Bengal,Kolkata,PROD-409,Furniture,Furnishings,6,6007.62,0.05,1638.75
ORD-200016,11-03-2023,15-03-2023,CUST-7011,Parinaaz Wali,Corporate,India,North,Punjab,Ludhiana,PROD-185,Furniture,Chairs,4,9413.1,0.3,-842.8
ORD-200017,13-07-2022,22-07-2022,CUST-5243,Bhavin Kara,Consumer,India,East,Maharashtra,Pune,PROD-221,Furniture,Tables,7,24393.99,0.24,-422.89
ORD-200018,02-08-2022,12-08-2022,CUST-9273,Kabir Kaur,Corporate,India,East,Karnataka,Mysuru,PROD-409,Furniture,Tables,7,21809.62,0.08,2850.21
ORD-200019,16-03-2024,23-03-2024,CUST-1515,Rhea Chahal,Consumer,India,South,Punjab,Ludhiana,PROD-920,Technology,Phones,9,12017.65,0.21,667.28
ORD-200020,16-09-2023,17-09-2023,CUST-7330,Gokul Soman,Consumer,India,West,Maharashtra,Pune,PROD-652,Furniture,Bookcases,8,11515.58,0,2710.61
ORD-200021,06-10-2024,13-10-2024,CUST-5931,Mehul Sehgal,Home Office,India,South,Rajasthan,Jaipur,PROD-399,Office Supplies,Binders,6,18563.76,0.03,2204.88
ORD-200022,22-03-2023,31-03-2023,CUST-8657,Faiyaz Keer,Home Office,India,East,Delhi,New Delhi,PROD-323,Office Supplies,Binders,8,336.54,0.03,68.49
ORD-200023,24-02-2023,26-02-2023,CUST-3104,Charvi Upadhyay,Consumer,India,South,Karnataka,Mysuru,PROD-467,Office Supplies,Storage,4,13208.51,0.04,1619.76
ORD-200024,22-09-2022,26-09-2022,CUST-1231,Aarna Dhingra,Corporate,India,South,Kerala,Kochi,PROD-666,Technology,Phones,5,8488.79,0.03,715.42
ORD-200025,06-10-2024,11-10-2024,CUST-6909,Fateh Banik,Home Office,India,East,Maharashtra,Nagpur,PROD-845,Technology,Accessories,2,509.68,0.22,38.33
ORD-200026,05-12-2023,10-12-2023,CUST-8969,Kaira Borra,Home Office,India,North,Delhi,New Delhi,PROD-601,Furniture,Furnishings,5,20650.31,0.23,1966
ORD-200027,05-06-2024,10-06-2024,CUST-3165,Aarush Gulati,Consumer,India,West,Delhi,New Delhi,PROD-486,Furniture,Bookcases,2,19282,0.02,2396.05
ORD-200028,12-12-2024,19-12-2024,CUST-9371,Mohanlal Tandon,Consumer,India,East,Delhi,New Delhi,PROD-179,Technology,Copiers,9,13647.55,0.08,2739.94
ORD-200029,20-03-2022,28-03-2022,CUST-2243,Samiha Hegde,Corporate,India,South,Gujarat,Surat,PROD-983,Furniture,Chairs,5,8559.38,0.13,394.24
ORD-200030,22-01-2024,01-02-2024,CUST-4628,Rohan Kala,Consumer,India,East,Telangana,Hyderabad,PROD-502,Furniture,Chairs,7,14646.17,0.16,3078.17
ORD-200031,12-03-2022,19-03-2022,CUST-8709,Jayesh Bassi,Home Office,India,East,Karnataka,Bengaluru,PROD-709,Technology,Copiers,4,11731.97,0.12,944.02
ORD-200032,25-02-2023,03-03-2023,CUST-1565,Farhan Yogi,Home Office,India,West,Telangana,Hyderabad,PROD-102,Furniture,Chairs,8,23400.88,0.23,2363.16
ORD-200033,11-06-2022,21-06-2022,CUST-1052,Diya Saini,Home Office,India,East,Maharashtra,Mumbai,PROD-899,Furniture,Bookcases,3,8137.02,0.21,607.98
ORD-200034,08-04-2023,11-04-2023,CUST-4209,Ryan Bali,Consumer,India,West,Rajasthan,Jaipur,PROD-807,Furniture,Tables,7,8918.18,0.27,734.64
ORD-200035,27-10-2023,05-11-2023,CUST-4414,Taimur Bhandari,Corporate,India,West,West Bengal,Kolkata,PROD-915,Furniture,Tables,6,5560.03,0.1,1290.74
ORD-200036,29-08-2024,02-09-2024,CUST-7803,Zoya Ranganathan,Corporate,India,South,Karnataka,Mysuru,PROD-230,Furniture,Tables,9,5775.28,0.1,729.07
ORD-200037,20-08-2022,29-08-2022,CUST-8221,Shlok Kohli,Home Office,India,South,Karnataka,Bengaluru,PROD-193,Technology,Laptops,7,2781.65,0.09,211.49
ORD-200038,14-08-2024,21-08-2024,CUST-8340,Anaya Rajagopal,Corporate,India,East,Delhi,New Delhi,PROD-325,Technology,Copiers,8,12434.4,0.2,-172.84
ORD-200039,12-04-2023,20-04-2023,CUST-9615,Abram Gokhale,Consumer,India,South,Delhi,New Delhi,PROD-741,Office Supplies,Storage,8,7011.08,0.24,-357.29
ORD-200040,09-02-2022,18-02-2022,CUST-2689,Aaina Keer,Corporate,India,West,Kerala,Kochi,PROD-550,Furniture,Bookcases,9,12174.51,0.19,595.03
ORD-200041,27-05-2023,04-06-2023,CUST-3941,Mannat Khatri,Consumer,India,South,Maharashtra,Pune,PROD-334,Technology,Copiers,6,18490.16,0.16,3919.57
ORD-200042,13-08-2024,22-08-2024,CUST-8167,Nishith Sarin,Corporate,India,West,Gujarat,Surat,PROD-500,Office Supplies,Paper,2,4888.37,0.16,761.53
ORD-200043,18-03-2024,26-03-2024,CUST-2365,Jayan Dua,Corporate,India,East,Telangana,Hyderabad,PROD-921,Technology,Phones,7,14997.88,0.22,1371.13
ORD-200044,20-01-2023,30-01-2023,CUST-3506,Hansh Kumer,Home Office,India,South,Kerala,Kochi,PROD-435,Office Supplies,Binders,9,1732.69,0.12,290.06
ORD-200045,16-12-2022,26-12-2022,CUST-1625,Jivika Chander,Consumer,India,South,Karnataka,Bengaluru,PROD-194,Furniture,Chairs,2,11861.12,0.14,-120.82
ORD-200046,24-12-2024,30-12-2024,CUST-8675,Bhamini Anand,Home Office,India,North,Telangana,Hyderabad,PROD-192,Office Supplies,Binders,9,1337.72,0.06,192.12
ORD-200047,04-10-2023,10-10-2023,CUST-3541,Shayak Roy,Consumer,India,West,Delhi,New Delhi,PROD-865,Furniture,Tables,3,6951.62,0.18,421.27
ORD-200048,14-07-2022,17-07-2022,CUST-7381,Aarav Borde,Home Office,India,North,Karnataka,Bengaluru,PROD-100,Office Supplies,Storage,3,16054.9,0.22,1331.87
ORD-200049,04-04-2023,06-04-2023,CUST-4879,Advik Bhargava,Corporate,India,East,Maharashtra,Pune,PROD-705,Furniture,Tables,6,15169.33,0.07,488.6
ORD-200050,03-05-2022,05-05-2022,CUST-3477,Jayesh Dutta,Corporate,India,North,Tamil Nadu,Coimbatore,PROD-509,Technology,Copiers,2,11591.01,0.28,-740.75
ORD-200051,10-04-2023,20-04-2023,CUST-4384,Lagan Doshi,Corporate,India,East,Maharashtra,Nagpur,PROD-463,Technology,Laptops,3,8514.93,0.27,491.48
ORD-200052,31-03-2023,03-04-2023,CUST-1042,Miraan Balasubramanian,Consumer,India,West,Gujarat,Ahmedabad,PROD-461,Technology,Phones,5,15115.8,0.18,2336.82
ORD-200053,25-05-2024,04-06-2024,CUST-2130,Raunak Grewal,Corporate,India,East,Delhi,New Delhi,PROD-933,Furniture,Chairs,9,5717.65,0.06,1143.02
ORD-200054,23-06-2023,01-07-2023,CUST-5627,Tara Hari,Corporate,India,West,Gujarat,Ahmedabad,PROD-702,Office Supplies,Binders,6,15289.45,0.24,729.76
ORD-200055,12-05-2022,18-05-2022,CUST-2491,Nehmat Basu,Consumer,India,West,Rajasthan,Jaipur,PROD-550,Office Supplies,Art,4,17170.92,0.02,1084.79
ORD-200056,18-02-2024,26-02-2024,CUST-8151,Ranbir Samra,Corporate,India,West,West Bengal,Kolkata,PROD-853,Furniture,Tables,1,9671.69,0.02,1082.69
ORD-200057,07-11-2022,17-11-2022,CUST-3904,Nishith Kunda,Consumer,India,North,Delhi,New Delhi,PROD-899,Technology,Copiers,5,13672.67,0.11,102.04
ORD-200058,15-02-2022,20-02-2022,CUST-9657,Anay Sethi,Corporate,India,West,Kerala,Kochi,PROD-458,Furniture,Bookcases,1,573.26,0.27,17.85
ORD-200059,27-10-2022,28-10-2022,CUST-2012,Nirvaan Shenoy,Consumer,India,South,Rajasthan,Jaipur,PROD-600,Office Supplies,Art,5,7534.81,0.18,155.13
ORD-200060,01-03-2022,10-03-2022,CUST-3459,Dhanush Kashyap,Corporate,India,West,Gujarat,Ahmedabad,PROD-829,Technology,Accessories,4,20458.07,0.05,2898.95
ORD-200061,04-05-2024,13-05-2024,CUST-3275,Hazel Kumer,Consumer,India,East,Gujarat,Surat,PROD-132,Technology,Accessories,4,12392.06,0.01,1671.71
ORD-200062,16-02-2022,24-02-2022,CUST-4437,Anvi Vig,Home Office,India,West,Maharashtra,Mumbai,PROD-399,Technology,Accessories,6,15791.93,0.13,192.7
ORD-200063,14-11-2023,16-11-2023,CUST-2666,Advika Sanghvi,Home Office,India,South,Rajasthan,Jaipur,PROD-149,Furniture,Furnishings,2,21270.21,0.23,-428.81
ORD-200064,14-12-2024,19-12-2024,CUST-3812,Priyansh Kapur,Corporate,India,North,Punjab,Ludhiana,PROD-580,Furniture,Bookcases,5,5706.58,0.18,128.56
ORD-200065,01-09-2022,05-09-2022,CUST-6203,Tiya Dora,Corporate,India,South,Punjab,Ludhiana,PROD-907,Office Supplies,Paper,7,5246.88,0.23,-70.66
ORD-200066,27-10-2024,03-11-2024,CUST-9518,Vanya Sankar,Consumer,India,West,Maharashtra,Nagpur,PROD-315,Technology,Laptops,3,13361.44,0.08,2157.13
ORD-200067,17-10-2023,23-10-2023,CUST-9459,Krish Bains,Consumer,India,West,Karnataka,Mysuru,PROD-254,Office Supplies,Storage,9,8732.32,0.2,47.02
ORD-200068,02-12-2024,03-12-2024,CUST-5978,Manikya Sahni,Consumer,India,West,Kerala,Kochi,PROD-265,Technology,Copiers,1,9055.2,0.22,307.94
ORD-200069,11-10-2023,19-10-2023,CUST-9609,Miraya Varghese,Consumer,India,West,Maharashtra,Pune,PROD-813,Technology,Phones,3,14664.66,0.01,4208.94
ORD-200070,25-06-2024,02-07-2024,CUST-9571,Chirag Borah,Corporate,India,West,Delhi,New Delhi,PROD-342,Office Supplies,Art,10,13942.13,0.27,-71.46
ORD-200071,22-02-2022,01-03-2022,CUST-8358,Bhavin Chakraborty,Consumer,India,North,Delhi,New Delhi,PROD-330,Furniture,Furnishings,5,8234.18,0.03,306.09
ORD-200072,26-05-2024,29-05-2024,CUST-1478,Amira Virk,Corporate,India,East,Kerala,Kochi,PROD-657,Technology,Laptops,6,17729.44,0.3,495.8
ORD-200073,07-03-2024,09-03-2024,CUST-6440,Samaira Acharya,Corporate,India,East,Maharashtra,Nagpur,PROD-780,Office Supplies,Storage,4,9919.67,0.03,868.57
ORD-200074,26-12-2024,27-12-2024,CUST-4201,Kabir Sidhu,Corporate,India,West,Punjab,Ludhiana,PROD-738,Technology,Copiers,7,13227.54,0,1943.71
ORD-200075,03-10-2023,09-10-2023,CUST-5744,Samiha Kalita,Home Office,India,West,Karnataka,Bengaluru,PROD-526,Technology,Accessories,9,23645.82,0.17,1209.66
ORD-200076,28-07-2024,03-08-2024,CUST-1977,Ishaan Khurana,Consumer,India,North,Karnataka,Mysuru,PROD-176,Technology,Phones,7,3675.71,0.17,42.87
ORD-200077,23-09-2024,27-09-2024,CUST-3580,Yakshit Dasgupta,Home Office,India,East,Tamil Nadu,Chennai,PROD-353,Furniture,Tables,3,17185.72,0.26,-573.95
ORD-200078,17-10-2023,27-10-2023,CUST-2460,Sahil Chadha,Corporate,India,South,Gujarat,Ahmedabad,PROD-937,Office Supplies,Binders,2,13661.36,0.13,2022
ORD-200079,29-03-2022,05-04-2022,CUST-6413,Urvi Trivedi,Corporate,India,East,West Bengal,Kolkata,PROD-516,Office Supplies,Paper,1,16069.29,0.12,2087.83
ORD-200080,12-03-2023,22-03-2023,CUST-3431,Mannat Bhat,Consumer,India,East,Maharashtra,Nagpur,PROD-750,Furniture,Furnishings,4,281.77,0.22,-4.98
ORD-200081,28-12-2023,04-01-2024,CUST-2976,Aaina Dutta,Home Office,India,South,Gujarat,Ahmedabad,PROD-666,Technology,Phones,2,24978.11,0.28,255.81
ORD-200082,08-05-2022,09-05-2022,CUST-9072,Navya Kanda,Consumer,India,South,Rajasthan,Jaipur,PROD-106,Office Supplies,Binders,6,8683.05,0.24,1001.27
ORD-200083,15-03-2024,22-03-2024,CUST-5078,Ishita Sharaf,Corporate,India,East,West Bengal,Kolkata,PROD-196,Furniture,Tables,6,16594.04,0.29,-564.82
ORD-200084,24-11-2023,01-12-2023,CUST-1995,Jayesh Rajagopal,Consumer,India,West,Maharashtra,Pune,PROD-517,Technology,Phones,2,10639.12,0.08,531.85
ORD-200085,04-03-2023,08-03-2023,CUST-7565,Anaya Dara,Consumer,India,East,Rajasthan,Jaipur,PROD-188,Technology,Phones,3,15296.97,0.15,2855.68
ORD-200086,14-07-2022,17-07-2022,CUST-7806,Badal Dugar,Consumer,India,East,West Bengal,Kolkata,PROD-356,Furniture,Furnishings,1,16688.39,0.05,3183.41
ORD-200087,16-04-2024,23-04-2024,CUST-9487,Vanya Balay,Consumer,India,West,Punjab,Ludhiana,PROD-344,Furniture,Bookcases,3,7018.41,0.11,77.81
ORD-200088,26-09-2024,03-10-2024,CUST-6942,Prerak Dutt,Consumer,India,East,Kerala,Kochi,PROD-458,Furniture,Chairs,8,10844.8,0.18,804.29
ORD-200089,13-06-2023,18-06-2023,CUST-6306,Nayantara Dada,Consumer,India,West,Maharashtra,Mumbai,PROD-364,Office Supplies,Binders,5,15465.75,0.28,-871.23
ORD-200090,03-07-2023,05-07-2023,CUST-1553,Taimur Balan,Corporate,India,East,Punjab,Ludhiana,PROD-398,Office Supplies,Paper,10,21894.29,0.16,2448.83
ORD-200091,15-05-2022,22-05-2022,CUST-4744,Kiara Konda,Corporate,India,East,Punjab,Ludhiana,PROD-717,Furniture,Furnishings,4,19410.3,0.06,3374.56
ORD-200092,14-04-2023,18-04-2023,CUST-2448,Hansh Srinivas,Consumer,India,West,Tamil Nadu,Coimbatore,PROD-237,Furniture,Furnishings,5,4292.21,0.25,538.64
ORD-200093,11-03-2024,13-03-2024,CUST-4098,Hunar Singh,Corporate,India,West,Tamil Nadu,Chennai,PROD-709,Office Supplies,Paper,10,18557.86,0.13,1261.9
ORD-200094,21-01-2024,31-01-2024,CUST-6360,Eva Deshpande,Home Office,India,North,Maharashtra,Pune,PROD-927,Furniture,Tables,8,6897.91,0.2,188.4
ORD-200095,09-05-2022,13-05-2022,CUST-5623,Samaira Amble,Home Office,India,East,Telangana,Hyderabad,PROD-820,Technology,Phones,10,16082.12,0.02,1964.68
ORD-200096,10-04-2024,19-04-2024,CUST-5843,Kismat Banerjee,Home Office,India,North,Telangana,Hyderabad,PROD-868,Office Supplies,Storage,5,7932.34,0.06,472.97
ORD-200097,24-10-2024,25-10-2024,CUST-9756,Kaira Shenoy,Home Office,India,West,Kerala,Kochi,PROD-304,Technology,Accessories,6,23939.34,0.29,492.52
ORD-200098,12-01-2024,13-01-2024,CUST-4826,Ishaan Singh,Consumer,India,West,Maharashtra,Nagpur,PROD-710,Furniture,Chairs,4,22536.21,0.15,-44.78
ORD-200099,16-12-2024,21-12-2024,CUST-6746,Samar Luthra,Home Office,India,East,Maharashtra,Mumbai,PROD-462,Technology,Phones,2,12053.62,0.07,2298.09
ORD-200100,16-05-2022,17-05-2022,CUST-7114,Charvi Seth,Consumer,India,West,Gujarat,Ahmedabad,PROD-571,Furniture,Chairs,2,4750.92,0.2,615.37
ORD-200101,04-09-2023,12-09-2023,CUST-8555,Alia Sanghvi,Corporate,India,South,Telangana,Hyderabad,PROD-519,Furniture,Bookcases,4,18398.41,0.01,3458.56
ORD-200102,05-04-2022,11-04-2022,CUST-3472,Hridaan Bose,Home Office,India,West,Delhi,New Delhi,PROD-459,Furniture,Furnishings,6,2334.36,0.3,349.78
ORD-200103,07-04-2022,10-04-2022,CUST-5731,Yashvi Luthra,Consumer,India,West,Maharashtra,Pune,PROD-976,Office Supplies,Art,3,24247.04,0.1,2377.18
ORD-200104,28-11-2023,07-12-2023,CUST-9827,Romil Jani,Corporate,India,West,Kerala,Kochi,PROD-424,Office Supplies,Paper,5,24459.17,0.14,990.64
ORD-200105,11-06-2023,12-06-2023,CUST-5130,Tanya Dara,Home Office,India,West,West Bengal,Kolkata,PROD-723,Technology,Copiers,1,2439.08,0.14,21.2
ORD-200106,17-07-2023,19-07-2023,CUST-6020,Lagan Seshadri,Home Office,India,West,Maharashtra,Pune,PROD-791,Furniture,Bookcases,8,3230.85,0.07,523.67
ORD-200107,26-12-2023,27-12-2023,CUST-4471,Zaina Ghose,Consumer,India,North,Telangana,Hyderabad,PROD-817,Furniture,Tables,4,18114.78,0.02,4502.55
ORD-200108,10-10-2023,13-10-2023,CUST-4788,Ivana Dhar,Consumer,India,South,West Bengal,Kolkata,PROD-769,Technology,Laptops,10,9699.27,0.14,1599.56
ORD-200109,16-02-2023,19-02-2023,CUST-8778,Myra Lal,Corporate,India,East,Karnataka,Bengaluru,PROD-566,Technology,Laptops,1,10313.52,0.27,-572.24
ORD-200110,22-08-2024,31-08-2024,CUST-3380,Elakshi Chanda,Consumer,India,South,Kerala,Kochi,PROD-262,Furniture,Furnishings,1,21845.01,0.13,-239.25
ORD-200111,03-06-2024,10-06-2024,CUST-1129,Mamooty Khosla,Home Office,India,South,Karnataka,Mysuru,PROD-489,Office Supplies,Paper,8,6838.87,0.17,38.31
ORD-200112,02-01-2022,08-01-2022,CUST-6643,Elakshi Subramanian,Home Office,India,West,Karnataka,Bengaluru,PROD-669,Furniture,Tables,3,22053.67,0.26,3207.58
ORD-200113,28-03-2023,05-04-2023,CUST-9913,Aayush Dada,Corporate,India,West,Maharashtra,Nagpur,PROD-575,Technology,Laptops,9,3298.84,0.24,552.33
ORD-200114,09-05-2022,19-05-2022,CUST-6905,Hunar Sagar,Consumer,India,North,Karnataka,Bengaluru,PROD-226,Technology,Phones,7,15959.48,0.04,4024.27
ORD-200115,19-02-2024,29-02-2024,CUST-5863,Zain Mahal,Home Office,India,East,Telangana,Hyderabad,PROD-820,Technology,Copiers,1,17610.78,0.23,-999.96
ORD-200116,22-04-2022,01-05-2022,CUST-6399,Yashvi Shankar,Corporate,India,North,Gujarat,Surat,PROD-907,Office Supplies,Storage,8,15437.62,0.29,485.59
ORD-200117,29-08-2022,04-09-2022,CUST-6549,Urvi Dyal,Home Office,India,East,Karnataka,Bengaluru,PROD-997,Technology,Laptops,10,17741.9,0.18,1635.6
ORD-200118,06-02-2023,11-02-2023,CUST-9001,Anika Manda,Consumer,India,West,Gujarat,Surat,PROD-219,Office Supplies,Paper,10,1054.46,0.07,227.74
ORD-200119,31-10-2024,10-11-2024,CUST-2583,Rati Singh,Home Office,India,West,West Bengal,Kolkata,PROD-589,Office Supplies,Art,3,18542.54,0.1,2943.86
ORD-200120,29-07-2023,03-08-2023,CUST-5648,Kismat Andra,Home Office,India,North,Telangana,Hyderabad,PROD-356,Furniture,Chairs,5,17818.51,0.13,1989.29
ORD-200121,06-11-2024,16-11-2024,CUST-4876,Gatik Shroff,Home Office,India,North,Rajasthan,Jaipur,PROD-327,Furniture,Chairs,4,7897.83,0.11,437.23
ORD-200122,03-10-2022,11-10-2022,CUST-9151,Kimaya Kota,Home Office,India,North,Kerala,Kochi,PROD-274,Furniture,Tables,1,20433.14,0.2,-225.33
ORD-200123,29-10-2022,30-10-2022,CUST-4324,Ahana  Bumb,Consumer,India,East,Tamil Nadu,Coimbatore,PROD-909,Office Supplies,Paper,5,9142.65,0.15,93.26
ORD-200124,20-12-2024,24-12-2024,CUST-8824,Tiya Balasubramanian,Consumer,India,East,Delhi,New Delhi,PROD-368,Technology,Phones,1,9539.94,0,1788.16
ORD-200125,17-01-2022,27-01-2022,CUST-3852,Kanav Gera,Home Office,India,South,Tamil Nadu,Coimbatore,PROD-881,Office Supplies,Binders,6,2691.36,0.21,126.14
ORD-200126,08-08-2022,18-08-2022,CUST-8613,Vardaniya Choudhary,Home Office,India,South,West Bengal,Kolkata,PROD-188,Technology,Laptops,7,6567.27,0.27,900.07
ORD-200127,16-05-2023,20-05-2023,CUST-4544,Jivika Uppal,Corporate,India,South,Rajasthan,Jaipur,PROD-854,Office Supplies,Paper,1,11301.26,0.28,1740.08
ORD-200128,13-05-2022,22-05-2022,CUST-1485,Hazel Rege,Corporate,India,North,Karnataka,Mysuru,PROD-730,Furniture,Tables,5,24507.96,0.12,2206.7
ORD-200129,19-02-2022,23-02-2022,CUST-5974,Prisha Yadav,Home Office,India,East,Kerala,Kochi,PROD-355,Office Supplies,Paper,5,20752.51,0.14,4424.35
ORD-200130,26-01-2024,05-02-2024,CUST-8093,Saksham Borah,Corporate,India,North,Karnataka,Mysuru,PROD-643,Technology,Copiers,4,17262.94,0.01,2058.2
ORD-200131,31-05-2024,10-06-2024,CUST-1178,Bhavin Kata,Home Office,India,South,West Bengal,Kolkata,PROD-863,Technology,Laptops,5,2211.53,0.11,138.6
ORD-200132,07-04-2023,10-04-2023,CUST-8411,Aniruddh Kar,Consumer,India,East,Telangana,Hyderabad,PROD-414,Technology,Laptops,8,13577.24,0.15,136.07
